2008-04-25,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-04-26,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-04-27,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-04-28,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-04-29,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-04-30,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-05-01,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-05-02,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-05-03,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-05-04,0.0,58.0,38.0,58.0,58.0,0.0,0.0,1.0,0.0
2008-05-05,1.0,59.0,38.0,59.0,59.0,1.0,1.0,1.0,1.0
2008-05-06,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-07,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-08,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-09,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-10,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-11,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-12,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-13,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-14,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-15,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-16,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-17,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-18,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-19,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-20,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-21,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-22,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-23,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-24,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-25,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-26,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-27,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-28,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-29,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-30,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-05-31,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-06-01,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-06-02,0.0,59.0,38.0,59.0,59.0,0.0,0.0,1.0,0.0
2008-06-03,1.0,60.0,38.0,60.0,60.0,1.0,1.0,1.0,1.0
2008-06-04,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-05,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-06,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-07,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-08,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-09,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-10,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-11,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-12,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-13,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-14,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-15,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-16,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-17,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-18,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-19,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-20,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-21,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-22,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-23,0.0,60.0,38.0,60.0,60.0,0.0,0.0,1.0,0.0
2008-06-24,1.0,61.0,38.0,61.0,61.0,1.0,1.0,1.0,1.0
2008-06-25,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-06-26,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-06-27,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-06-28,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-06-29,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-06-30,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-07-01,0.0,61.0,38.0,61.0,61.0,0.0,0.0,1.0,0.0
2008-07-02,1.0,62.0,38.0,62.0,62.0,1.0,1.0,1.0,1.0
2008-07-03,2.0,64.0,39.0,64.0,64.0,2.0,1.0,1.0,1.0
2008-07-04,0.0,64.0,39.0,64.0,64.0,0.0,0.0,1.0,0.0
2008-07-05,0.0,64.0,39.0,64.0,64.0,0.0,0.0,1.0,0.0
2008-07-06,0.0,64.0,39.0,64.0,64.0,0.0,0.0,1.0,0.0
2008-07-07,0.0,64.0,39.0,64.0,64.0,0.0,0.0,1.0,0.0
2008-07-08,1.0,65.0,39.0,65.0,65.0,1.0,1.0,1.0,1.0
2008-07-09,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-10,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-11,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-12,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-13,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-14,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-15,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-16,0.0,65.0,39.0,65.0,65.0,0.0,0.0,1.0,0.0
2008-07-17,2.0,67.0,40.0,67.0,67.0,3.0,1.0,1.5,1.0
2008-07-18,4.0,71.0,43.0,71.0,71.0,2.0,1.0,0.5,1.0
2008-07-19,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-20,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-21,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-22,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-23,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-24,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-25,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-26,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-27,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-28,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-29,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-30,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-07-31,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-01,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-02,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-03,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-04,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-05,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-06,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-07,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-08,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-09,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-10,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-11,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-12,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-13,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-14,0.0,71.0,43.0,71.0,71.0,0.0,0.0,0.5,0.0
2008-08-15,4.0,75.0,46.0,75.0,75.0,2.0,1.0,0.5,1.0
2008-08-16,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-17,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-18,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-19,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-20,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-21,0.0,75.0,46.0,75.0,75.0,0.0,0.0,0.5,0.0
2008-08-22,1.0,76.0,46.0,76.0,76.0,1.0,1.0,1.0,1.0
2008-08-23,0.0,76.0,46.0,76.0,76.0,0.0,0.0,1.0,0.0
2008-08-24,0.0,76.0,46.0,76.0,76.0,0.0,0.0,1.0,0.0
2008-08-25,1.0,77.0,46.0,77.0,77.0,1.0,1.0,1.0,1.0
2008-08-26,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-08-27,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-08-28,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-08-29,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-08-30,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-08-31,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-09-01,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-09-02,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-09-03,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-09-04,0.0,77.0,46.0,77.0,77.0,0.0,0.0,1.0,0.0
2008-09-05,1.0,78.0,46.0,78.0,78.0,1.0,1.0,1.0,1.0
2008-09-06,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-07,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-08,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-09,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-10,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-11,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-12,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-13,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-14,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-15,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-16,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-17,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-18,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-19,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-20,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-21,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-22,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-23,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-24,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-25,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-26,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-27,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-28,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-29,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-09-30,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-01,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-02,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-03,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-04,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-05,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-06,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-07,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-08,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-09,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-10,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-11,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-12,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-13,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-14,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-15,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-16,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-17,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-18,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-19,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-20,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-21,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-22,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-23,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-24,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-25,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-26,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-27,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-28,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-29,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-30,0.0,78.0,46.0,78.0,78.0,0.0,0.0,1.0,0.0
2008-10-31,1.0,79.0,45.0,79.0,79.0,1.0,1.0,1.0,1.0
2008-11-01,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-02,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-03,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-04,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-05,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-06,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-07,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-08,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-09,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-10,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-11,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-12,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-13,0.0,79.0,45.0,79.0,79.0,0.0,0.0,1.0,0.0
2008-11-14,1.0,80.0,45.0,80.0,80.0,1.0,1.0,1.0,1.0
2008-11-15,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-16,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-17,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-18,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-19,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-20,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-21,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-22,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-23,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-24,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-25,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-26,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-27,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-28,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-29,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-11-30,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-01,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-02,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-03,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-04,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-05,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-06,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-07,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-08,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-09,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-10,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-11,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-12,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-13,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-14,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-15,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-16,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-17,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-18,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-19,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-20,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-21,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-22,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-23,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-24,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-25,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-26,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-27,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-28,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-29,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-30,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2008-12-31,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-01,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-02,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-03,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-04,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-05,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-06,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-07,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-08,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-09,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-10,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-11,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-12,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-13,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-14,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-15,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-16,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-17,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-18,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-19,0.0,80.0,45.0,80.0,80.0,0.0,0.0,1.0,0.0
2009-01-20,1.0,81.0,45.0,81.0,81.0,1.0,1.0,1.0,1.0
2009-01-21,0.0,81.0,45.0,81.0,81.0,0.0,0.0,1.0,0.0
2009-01-22,4.0,85.0,48.0,85.0,85.0,3.0,2.0,0.75,1.0
2009-01-23,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-24,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-25,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-26,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-27,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-28,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-29,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-30,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-01-31,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-01,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-02,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-03,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-04,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-05,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-06,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-07,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-08,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-09,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-10,0.0,85.0,48.0,85.0,85.0,0.0,0.0,0.75,0.0
2009-02-11,1.0,86.0,48.0,86.0,86.0,1.0,1.0,1.0,1.0
2009-02-12,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-13,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-14,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-15,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-16,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-17,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-18,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-19,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-20,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-21,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-22,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-23,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-24,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-25,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-26,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-27,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-02-28,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-01,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-02,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-03,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-04,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-05,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-06,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-07,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-08,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-09,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-10,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-11,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-12,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-13,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-14,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
2009-03-15,0.0,86.0,48.0,86.0,86.0,0.0,0.0,1.0,0.0
